id,key,length,matches,pct_outbound,fp_sample
73,ac,39,27701,73.22,"cu stima aura chitulescu 074 466 7233"
105,mr,97,4337,11.46,"ul nostru marius la numerele de telefon 0756 119 8"
91,ffd,157,2738,7.24,"ru produsele expediate prin dragon star numarul de a"
107,mc1,323,2680,7.08,"pentru expedierea prin serviciul de curierat informasii expe"
90,ffan,157,1830,4.84,"ru produsele expediate prin fan courier numarul de a"
115,op,502,1381,3.65,"proforma aferenta va rugam sa verificasi corectitudinea come"
110,mp1,634,1252,3.31,"livrarea an bucureiti cu maiinile noastre astfel beneficiasi"
114,pi,147,824,2.18,"ea produselor este picu marales gheorghe si il put"
76,b1,21,614,1.62,"cu stima bogdan popa"
95,ia1,599,469,1.24,"a amanam comenzile primite an perioada urmatoare pentru prim"
60,201,100,288,0.76,"c http i imgur com pm302xi jpg animatie http i img"
112,nu1,122,171,0.45,"interesul acordat societatii noastre insa din moti"
88,fb,97,118,0.31,"irma boxpack srl plata se face in contul ing ro74i"
65,426,100,93,0.25,"c http i imgur com nwjloey jpg animatie http i img"
108,mc2,835,80,0.21,"neavoastra din bucureiti ne permite sa va oferim o opsiune d"
66,427,100,75,0.2,"c http i imgur com 4qvhdaz jpg animatie http i img"
75,ni,38,53,0.14,"cu stima irina nicolaiu 072 169 7233"
120,bapi,3508,53,0.14,"vectorizata an unul dintre urmatoarele formate cdr eps sau s"
79,pf,38,45,0.12,"cu respect popa florian 0756 119 875"
83,bt,57,41,0.11,"si ok pentru tipar cu stima bogdan popa"
64,330,100,20,0.05,"c http i imgur com ij4yrad jpg animatie http i img"
78,pc,60,19,0.05,"ne best regards popa r cosmin 0756 562 229"
87,nets,150,15,0.04,"ua dorim un cliieu conform paginii roz din ataiame"
89,sd,446,15,0.04,"racari dambovita adresa noastra pe google maps http j mp har"
97,fx,1538,12,0.03,"tiilor se realizeaza prin flexografie necesitand astfel conf"
62,215,100,7,0.02,"c http i imgur com h7o6a1e jpg animatie http i img"
61,203,100,1,0.0,"c http i imgur com qojvdq0 jpg animatie http i img"
63,217,100,1,0.0,"c http i imgur com nthuydk jpg animatie http i img"
77,b2,197,1,0.0,"rl paff srl solusii complete de ambalare m 40 0756 119 876 w"
81,bapnu1,842,1,0.0,"tor la ultimele dumneavoastra antrebari am decis sa declinam"
74,fp,39,0,0.0,"cu stima florentina popa 072 169 7233"
67,aa,58,0,0.0,"b font color 1abc9c b paff b font"
71,adr,60,0,0.0,"font color fab220 b dragon b font"
69,af,65,0,0.0,"font color 3e66a6 b fan courier b font"
72,a-nu,70,0,0.0,"f44152 b nu a achitat b font b font"
80,ep,76,0,0.0,"aff paff producator ambalaje www paff ro 072 169 7"
68,ap,87,0,0.0,"nt color f441df b se ridica de la paff b font"
59,200,100,0,0.0,"c http i imgur com rrg5w6x jpg animatie http i img"
118,vp,132,0,0.0,"erneala hydra html aveti catalogul de vopseluri pe"
86,bapt,133,0,0.0,"pentru tipar a benzii personalizate va rugam sa c"
119,df,222,0,0.0,"u procesarea comenzii datele pentru facturare adresa de livr"
82,bapco,266,0,0.0,"dorim o comanda de 144 role conform ataiamentului stare clis"
102,la4,296,0,0.0,"it de serviciile noastre ne putesi lasa o recenzie rapida ac"
99,la1,324,0,0.0,"tps g page r cqc8dm53vbgheag review pentru a ne ajuta sa ne "
106,mc0,357,0,0.0,"ntrat an procesul de pregatire ii va fi expediata prin servi"
98,lc,388,0,0.0,"nile sunt interioare exterioare tipul cartonului este co 0 o"
104,mj2,444,0,0.0,"e a presurilor la materiile prime ii energie suntem nevoisi "
101,la3,459,0,0.0,"mit de rezultat suntem antr un proces continuu de creitere i"
100,la2,460,0,0.0,"produselor paff daca suntesi mulsumit de calitatea ambalajel"
113,nu2,467,0,0.0,"ff am analizat cererea dumneavoastra ansa din pacate specifi"
116,sp,473,0,0.0,"tori separator despartitor fagure paff 11 jpg 2 http www paf"
117,st,488,0,0.0,"b 1000mm este de 1 000 de lei tva ex 1 http www paff ro libr"
84,bc1,490,0,0.0,"ta va informam ca la acest produs comanda minima este de 4 c"
96,ia2,531,0,0.0,"i perioade suntem nevoisi sa programam execusia comenzii dum"
94,dx,580,0,0.0,"cate nu va putem ajuta dvs aveti nevoie de un producator de "
93,livrare2,625,0,0.0,"56 119 864 marius 0756 119 878 important privind recepsia ma"
85,bc2,663,0,0.0,"adeziva personalizata va reamintim detaliile legate de canti"
111,mp2,759,0,0.0,"dumneavoastra vor fi expediate prin flota proprie paff benef"
109,mc3,792,0,0.0,"e este an bucureiti va putem oferi o alternativa mai rapida "
92,livrare1,914,0,0.0,"livrarea picu 0756 119 864 marius 0756 119 878 livrarea cu p"
103,mj1,1008,0,0.0,"izeaza cartonul 5 an 2022 suntem nevoisi sa va anunsam ca op"
